experiment	comment	disease	mean_rank_unseen	median_rank_unseen	n_unseen_in_list	compare_from	num_targets_found	avg_precision	avg_reciprocal_rank_custom	fold_enrichment_top_1_pct	recall_top_1_pct	fold_enrichment_top_5_pct	recall_top_5_pct	fold_enrichment_top_10_pct	recall_top_10_pct	precision_at_10	recall_at_10	precision_at_25	recall_at_25	precision_at_50	recall_at_50	precision_at_100	recall_at_100	precision_at_250	recall_at_250	precision_at_1000	recall_at_1000	mean_rank_seen	median_rank_seen	n_seen_true_positives
ExpC87	hl_only	cp	2402.7124	1309.0	233	2022_09	233	0.0989	0.0058	12.8755	0.1288	7.5536	0.3777	5.9227	0.5923	0.4	0.0172	0.24	0.0258	0.18	0.0386	0.18	0.0773	0.148	0.1588	0.098	0.4206	51.9565	52.0	92
ExpC88	hl_only	arthrogryposis	4274.1818	1252.5	22	2022_09	22	0.0307	0.0141	22.7273	0.2273	7.2727	0.3636	5.4545	0.5455	0.2	0.0909	0.12	0.1364	0.06	0.1364	0.03	0.1364	0.024	0.2727	0.01	0.4545	121.8908	101.0	174
ExpC89	hl_only	platelet_disorder	828.4667	163.0	15	2022_09	15	0.0786	0.04	53.3333	0.5333	16.0	0.8	8.6667	0.8667	0.2	0.1333	0.12	0.2	0.06	0.2	0.04	0.2667	0.032	0.5333	0.012	0.8	78.2174	71.0	115
ExpC90	hl_only	bone_marrow_failure	3398.4194	744.0	31	2022_09	31	0.0371	0.0132	32.2581	0.3226	10.9677	0.5484	6.129	0.6129	0.1	0.0323	0.04	0.0323	0.06	0.0968	0.06	0.1935	0.044	0.3548	0.018	0.5806	94.8367	49.5	98
ExpC91	hl_only	cataract	6864.875	6843.0	8	2022_09	8	0.0006	0.0002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	95.7931	96.5	174
ExpC92	hl_ll	platelet_disorder	846.0667	104.0	15	2022_09	15	0.0819	0.0334	53.3333	0.5333	14.6667	0.7333	9.3333	0.9333	0.2	0.1333	0.12	0.2	0.08	0.2667	0.07	0.4667	0.032	0.5333	0.012	0.8	80.113	85.0	115
ExpC93	hl_ll	bone_marrow_failure	2893.8065	806.0	31	2022_09	31	0.0299	0.0072	25.8065	0.2581	10.3226	0.5161	6.129	0.6129	0.0	0.0	0.08	0.0645	0.06	0.0968	0.07	0.2258	0.04	0.3226	0.018	0.5806	50.898	49.5	98
ExpC94	hl_ll	cataract	7552.0	7463.5	8	2022_09	8	0.0006	0.0002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	97.9368	98.5	174
ExpC95	ll_only	platelet_disorder	6221.0667	6988.0	15	2022_09	15	0.0036	0.0016	6.6667	0.0667	6.6667	0.3333	4.0	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0667	0.004	0.0667	0.005	0.3333	2174.5826	1790.0	115
ExpC96	ll_only	bone_marrow_failure	5004.5161	3618.0	31	2022_09	31	0.0127	0.0067	9.6774	0.0968	3.871	0.1935	2.2581	0.2258	0.1	0.0323	0.04	0.0323	0.06	0.0968	0.03	0.0968	0.012	0.0968	0.006	0.1935	1518.398	1150.0	98
ExpC97	ll_only	cataract	7791.0	9394.0	8	2022_09	8	0.0007	0.0003	0.0	0.0	0.0	0.0	1.25	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2673.6437	2362.0	174
ExpC10	ll_only	arthrogryposis	5802.0909	5708.0	22	2022_09	22	0.0023	0.0004	0.0	0.0	1.8182	0.0909	2.2727	0.2273	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.1364	90.6782	90.5	174
ExpB19	hl_ll	arthrogryposis	3290.9545	1724.5	22	2022_09	22	0.0752	0.0562	22.7273	0.2273	7.2727	0.3636	5.0	0.5	0.2	0.0909	0.08	0.0909	0.06	0.1364	0.03	0.1364	0.02	0.2273	0.01	0.4545	100.9023	97.5	174
ExpR_ad	hl_ll	ad_dee	2132.2812	1132.5	64	2022_09	64	0.0299	0.0035	14.0625	0.1406	8.4375	0.4219	5.9375	0.5938	0.0	0.0	0.04	0.0156	0.06	0.0469	0.03	0.0469	0.048	0.1875	0.03	0.4688	206.6031	194.0	262
ExpR_ar	hl_ll	ar_dee	3429.913	1739.5	46	2022_09	46	0.0134	0.0013	2.1739	0.0217	7.8261	0.3913	5.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016	0.087	0.02	0.4348	306.0319	295.0	439
ExpD20	ll_only	arthrogryposis	6057.8182	6299.5	22	2022_09	22	0.0024	0.0005	0.0	0.0	3.6364	0.1818	2.7273	0.2727	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.1818	93.1552	91.5	174
ExpD21	hl_ll	arthrogryposis	3285.0909	1828.5	22	2022_09	22	0.0803	0.0584	22.7273	0.2273	7.2727	0.3636	5.0	0.5	0.2	0.0909	0.12	0.1364	0.06	0.1364	0.04	0.1818	0.024	0.2727	0.009	0.4091	109.3046	107.5	174
ExpD21	hl_ll	arthrogryposis	3285.0909	1828.5	22	2022_09	22	0.0803	0.0584	22.7273	0.2273	7.2727	0.3636	5.0	0.5	0.2	0.0909	0.12	0.1364	0.06	0.1364	0.04	0.1818	0.024	0.2727	0.009	0.4091	109.3046	107.5	174
ExpD20	ll_only	arthrogryposis	6057.8182	6299.5	22	2022_09	22	0.0024	0.0005	0.0	0.0	3.6364	0.1818	2.7273	0.2727	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.1818	93.1552	91.5	174
