Gene_Name	interacting_genes
ABCA4	['STXBP5L']
ABCA7	['HAUS1', 'B9D1', 'APOA1']
ABCA8	['NPHP4']
ABCB1	['HSP90AB1', 'UBB', 'HSPA1A', 'HSPA1B', 'HSPA8', 'HSPA6', 'DNAJA1', 'GRK4', 'HSPA1L', 'GRK5', 'GRK6', 'HSPA2', 'VCP', 'HIST1H4A', 'RPS27A', 'UBA52', 'DNAJA4', 'HIST1H4G', 'LSM5', 'HAX1', 'MARCH6', 'DNAJA2']
ABCB10	['MPC1', 'VAMP4', 'MPC2', 'HSPA4L', 'SLC2A3', 'FECH', 'HSPA4', 'CPOX', 'GPD2', 'PPOX', 'VAMP2', 'VAMP3', 'HSPH1']
ABCB11	['AP2M1', 'HAX1', 'NR5A2']
ABCB4	['RPS11', 'UBQLN4', 'UBQLN2', 'UBQLN1', 'HAX1', 'NPHS1']
ABCB5	['MTNR1A']
ABCB6	['NTN3', 'NTN1', 'BMPR1A']
ABCB7	['HSPA4L', 'PGK1', 'GAPDH', 'ENO1', 'PGK2', 'HSP90AB1', 'ENO2', 'HSPA1A', 'HSPA1B', 'HSPA8', 'ENO3', 'HSPA6', 'RCC1', 'CPOX', 'NSF', 'NEDD4', 'PPOX', 'HSPA2', 'UBE2G2', 'EEF1A1', 'EEF1A2', 'EIF4EBP1', 'EIF4EBP2', 'TMEM173', 'IPO4', 'HSPH1', 'NEDD4L', 'PFDN4', 'KCNK1', 'GAPDHS', 'EIF4EBP3']
ABCC1	['KCNK1']
ABCC10	['NTN3', 'NTN1', 'PPP5C']
ABCC2	['EZR', 'MAPK3', 'MAPK1', 'RDX']
ABCC3	['DNAJA2', 'ATP6V1G1', 'ATP6V1G2', 'HSPA4L', 'CYB5R3', 'SOD1', 'PGK1', 'KRAS', 'ALB', 'PGK2', 'BPGM', 'RHOC', 'HSP90AB1', 'UBB', 'HSPA1A', 'HSPA1B', 'RRAS', 'HSPA8', 'PABPC1', 'PKM', 'PGAM2', 'HSPA6', 'PGAM1', 'CSNK2A2', 'BTF3', 'CFL1', 'EEF1B2', 'PKLR', 'DNAJA1', 'HSPA1L', 'HSPA4', 'CCT3', 'RAB7A', 'FABP6', 'HSPA2', 'SNU13', 'SUMO3', 'DSTN', 'RHOA', 'SUMO2', 'RRAS2', 'YWHAE', 'RHOB', 'RPS27A', 'UBA52', 'SUMO1', 'RACK1', 'CSNK2B', 'CSNK2A1', 'PABPC4', 'PABPC1L', 'PABPC1L2A', 'CYB5R2', 'SUMO4', 'PGAM4', 'DNAJA4', 'HSPH1', 'PABPC5', 'AURKB', 'BTF3L4', 'ATP6V1G3', 'NACA2', 'PABPC3', 'WDR76', 'AURKC', 'CFL2', 'PIKFYVE', 'GMPPB', 'XPO1']
ABCC4	['NTN1', 'ZBTB48', 'NF2', 'PPP5C', 'STK4', 'STK3', 'CCNB3', 'ERBIN', 'NTN3']
ABCC5	['SESN2', 'SESN3', 'SESN1']
ABCC8	['KCNJ8', 'ANK2']
ABCC9	['PPP5C', 'KCNJ8', 'USP42', 'USP36']
ABCD1	['HSPA1L', 'GLRX', 'HSPA9', 'EIF1', 'RAB5C', 'HSPA2', 'PEX3', 'UBE2K', 'EEF1A1', 'ARF1', 'EEF1A2', 'PPID', 'PLPP4', 'CORO6', 'XRN1', 'N6AMT2', 'CORO2A', 'UPF1', 'PRMT1', 'CORO1B', 'PBDC1', 'PRMT8', 'GLRX2', 'CORO1C', 'CORO2B', 'ATOX1', 'LSM1', 'PFDN6', 'EIF1B', 'PEX14', 'ENO1', 'ENO2', 'HSPA1A', 'HSPA1B', 'TXN', 'HSPA5', 'HSPA8', 'ENO3', 'HSPA6', 'RCC1', 'PRDX5', 'CORO1A']
ABCD2	['CORO1C', 'CORO2B', 'ATOX1', 'NTN3', 'LSM1', 'PFDN6', 'EIF1B', 'PEX14', 'NTN1', 'ENO1', 'ENO2', 'HSPA1A', 'HSPA1B', 'TXN', 'HSPA5', 'HSPA8', 'ENO3', 'HSPA6', 'RCC1', 'RAB6A', 'PRDX5', 'CORO1A', 'HSPA1L', 'GLRX', 'SNCA', 'HSPA9', 'EIF1', 'GPC3', 'HSPA2', 'PEX3', 'UBE2K', 'EEF1A1', 'GPC5', 'ARF1', 'EEF1A2', 'PPID', 'DDI2', 'PLPP4', 'CORO6', 'XRN1', 'DDI1', 'N6AMT2', 'CORO2A', 'UPF1', 'PRMT1', 'CORO1B', 'PBDC1', 'PRMT8', 'GLRX2']
ABCD3	['PRDX5', 'CORO1A', 'HSPA1L', 'GLRX', 'BMPR1A', 'HSPA9', 'EIF1', 'HSPA2', 'PEX3', 'UBE2K', 'EEF1A1', 'ARF1', 'EEF1A2', 'RAD51', 'C1QBP', 'PPID', 'TMED2', 'PLPP4', 'CORO6', 'KTN1', 'TMEM173', 'XRN1', 'UBR7', 'GIPC3', 'GIPC2', 'N6AMT2', 'CORO2A', 'UPF1', 'GCDH', 'RMDN3', 'PRMT1', 'CORO1B', 'PBDC1', 'GTPBP2', 'RBSN', 'CHMP4B', 'PRMT8', 'C1GALT1', 'GLRX2', 'CORO1C', 'CORO2B', 'ATOX1', 'GIPC1', 'LSM1', 'PFDN6', 'EIF1B', 'EED', 'ENO1', 'ENO2', 'HSPA1A', 'HSPA1B', 'TXN', 'HSPA5', 'HSPA8', 'ENO3', 'ATP2A2', 'HSPA6', 'RCC1']
