Gene_Name	interacting_genes
PPARGC1A	['MED16', 'NR5A2', 'MED14', 'NR1I2', 'PIAS1', 'ABCB11', 'EGFR', 'ESR1', 'NR3C1', 'CAPNS1', 'TP53', 'UBC', 'THRB', 'ESRRA', 'RXRA', 'NFKB1', 'USF1', 'CYP7A1', 'SFPQ', 'PML', 'PPARG', 'BCL6', 'HNF4A', 'LRPPRC', 'IQGAP1', 'NRIP1', 'GSK3B', 'RORC', 'HCFC1', 'ESRRG', 'SUMO1', 'SKP1', 'UBE2I', 'CDK6', 'SRSF2', 'EWSR1', 'PPARD', 'RELA', 'PPARA', 'SRSF4', 'EP300', 'PRKAA1', 'SRSF5', 'SRSF6', 'MED21', 'NCOA6', 'NR1I3', 'SF1', 'MED1', 'NCOA1', 'USF2', 'PDK4', 'NRF1', 'CREB3L3', 'ZNF746', 'ESR2', 'CREBBP', 'KAT2A', 'MED12', 'FBXW7', 'RNF34', 'SIRT1', 'NR1H4', 'RNF2', 'MED20', 'CREBZF', 'MED17', 'MYEF2']
PPARGC1B	['PNKD', 'ZNF513', 'ZBTB9', 'ZFP64', 'ZFP64', 'ZNF212', 'FOXA2', 'PIAS1', 'ESR1', 'THRB', 'SRC', 'PPARG', 'HNF4A', 'NR1H2', 'ZNF200', 'PPARA', 'SYVN1']
PPAT	['CRY1', 'OTUB1', 'MMS19', 'EPT1', 'SMURF1', 'FBXW11', 'FAM96B', 'HDAC3', 'CIAO1', 'NTRK1', 'UBC', 'G6PD', 'ATXN1', 'CCZ1B', 'CCZ1']
PPBP	['EFNA1', 'NR4A1', 'RPS27', 'RAB10', 'CSNK2A1', 'DMWD', 'PMAIP1', 'COX17', 'MAPK6', 'MOB3B', 'SCFD1', 'CELF1', 'QRSL1', 'STRN4', 'PLEKHJ1', 'NDUFB11', 'CMTM6', 'COPS7A', 'COPG1', 'ALB']
PPCDC	['WDYHV1', 'TXN2', 'ZNF232', 'DBI', 'UBC', 'PSMA1', 'PPIG', 'FOXR1', 'SREK1IP1', 'CENPT']
PPCS	['UBC', 'HNF1A', 'HNF4A']
PPDPF	['UBC']
PPEF1	['CALM1']
PPEF2	['CALM1']
PPFIA1	['GPS2', 'PTPRS', 'CUL2', 'PPP2R5D', 'NCOA2', 'FAM161A', 'AMOT', 'PPFIBP1', 'CYP4X1', 'PPFIBP2', 'CEP70', 'CAGE1', 'AURKB', 'CDC5L', 'NDN', 'C16orf70', 'GRIP2', 'GBA2', 'LATS2', 'DROSHA', 'MBIP', 'ONECUT1', 'ING4', 'AGTPBP1', 'GIT1', 'ERC2', 'DTNB', 'PPFIA3', 'PPFIA2', 'NTRK1', 'UBC', 'PTPRF', 'TNNT1', 'XRCC1', 'TUBG1', 'PTPRD', 'PTPRG', 'PPP2R1A', 'YWHAB', 'BRCA1', 'CDKN1A', 'TXLNA', 'CCNH', 'PPP2CB', 'PPP2CA']
PPFIA2	['UBC', 'PTPRF', 'PTPRD', 'PTPRG', 'PPP2R1A', 'PPP2CA', 'PPFIA1', 'PTPRS', 'ITSN1', 'PPFIBP1', 'PPFIBP2', 'CDC5L', 'GIT1', 'ERC2', 'PPFIA3']
PPFIA3	['PPFIA2', 'UBC', 'PTPRF', 'PTPRD', 'PTPRG', 'PIK3R1', 'PPP2R1A', 'PPP2CB', 'PPP2CA', 'PPFIA1', 'GPS2', 'PTPRS', 'PPFIBP1', 'RAB3IL1', 'GIT1', 'ERC2']
PPFIA4	['UBC', 'PLCG1', 'NCOA2', 'AGTPBP1', 'GIT1', 'ERC2']
PPFIBP1	['TMEM17', 'PNKD', 'CEP76', 'SH3KBP1', 'CEP250', 'MOV10', 'LATS2', 'ONECUT1', 'NXF1', 'PPFIA3', 'PPFIA2', 'NTRK1', 'TP53', 'ENO1', 'UBC', 'S100A4', 'YWHAQ', 'PPP2R1A', 'YWHAB', 'SFN', 'GRK5', 'CDKN1A', 'HNF4A', 'VCP', 'DCAF7', 'YWHAG', 'YWHAZ', 'DYNLL1', 'PPFIA1', 'ELAVL1', 'KIF21A']
PPFIBP2	['TSG101', 'PRNP', 'DTNB', 'PPFIA2', 'PRNP', 'APP', 'SFN', 'CRK', 'CRKL', 'CLK1', 'PPFIA1']
PPHLN1	['NEDD1', 'SEPT8', 'UFD1L', 'RGMA', 'AP2M1', 'ZNF597', 'MPHOSPH8', 'TSGA10', 'CENPJ', 'MOV10', 'BCLAF1', 'NXF1', 'NAGK', 'ITGB1BP2', 'SNCAIP', 'BACH1', 'PPL', 'APP', 'VIM', 'UBC', 'CBR1', 'VCL', 'SHMT2', 'BMI1', 'PPP1CC', 'BRCA1', 'MATR3', 'CLK1', 'CLK2', 'CASP5', 'SRPK2', 'CDK6', 'BCL2L1', 'ITGB3BP', 'SQSTM1', 'TP53BP2', 'TOMM20', 'ELAVL1', 'CDC37', 'IFI16', 'CCDC57', 'MTUS2', 'FAM83H', 'PAXIP1', 'METTL3', 'SKAP1']
PPIA	['GRB2', 'PPP3R1', 'YWHAZ', 'SRPK2', 'MDM2', 'E2F1', 'EWSR1', 'POU5F1', 'PPP3CA', 'ITK', 'USP4', 'STX3', 'UBE2V1', 'CUL1', 'CUL3', 'CUL4B', 'CUL7', 'ELAVL1', 'NEDD8', 'ZYX', 'E2F4', 'PTPRN', 'DCAF15', 'PKN3', 'PAXIP1', 'HUWE1', 'ZER1', 'LNX1', 'N4BP2L2', 'COPS5', 'SRPK1', 'LYST', 'ATP5S', 'BCL7B', 'MKNK1', 'RBM4', 'CHMP4A', 'MAP1LC3B', 'GABARAPL1', 'EPB41L4B', 'MAP1LC3A', 'COPS7B', 'PRR13', 'NOTCH3', 'HDAC5', 'TMEM189', 'SUPT5H', 'DNM1L', 'TERT', 'UBD', 'JAK2', 'OBSL1', 'CSDE1', 'PRSS23', 'GABARAP', 'AIFM1', 'MYC', 'FN1', 'ESR1', 'ANXA1', 'NTRK1', 'APP', 'S100A8', 'JUN', 'RB1', 'HNRNPA1', 'UBC', 'PCNA', 'ITGA4', 'CD99', 'ATF2', 'TCF4', 'H2AFX', 'PRLR', 'VCAM1', 'ANXA7', 'CD247', 'TAF1', 'GART', 'CDK2', 'YY1', 'AKT1', 'ARRB2', 'MYH9', 'BSG', 'FUS', 'RAD52', 'ARRB1', 'ALDH7A1', 'MCM2', 'LIG4', 'RAB5C', 'GABARAPL2', 'UBE2N', 'MAX']
PPIAL4A	['JUN']
PPIAL4D	['SGK1']
PPIB	['MCC', 'CDK2', 'HLA-B', 'SFN', 'BMI1', 'DDIT3', 'VHL', 'PEX19', 'CAMLG', 'MCM2', 'DNM2', 'ATP12A', 'YWHAZ', 'MDM2', 'EWSR1', 'POU5F1', 'TRAF1', 'OS9', 'IKBKE', 'CUL7', 'SUZ12', 'PCM1', 'ZYX', 'TCTN1', 'TCTN3', 'BANP', 'WDR48', 'PINX1', 'SGTB', 'VKORC1', 'WDR76', 'TMBIM4', 'MOV10', 'FBXO6', 'UBQLN4', 'WWOX', 'TXNDC16', 'HECW2', 'FTSJ1', 'USP21', 'UBQLN1', 'TRAF6', 'UBD', 'SGTA', 'OBSL1', 'EED', 'PRL', 'ESR1', 'APOB', 'NTRK1', 'JUN', 'UBC', 'CFTR', 'PDIA4', 'HSP90B1', 'ATF2']
PPIC	['ELAVL1', 'BANP', 'UBQLN4', 'UBAP1', 'UBQLN1', 'SGTA', 'UBC', 'ARSA']
PPID	['ILF2', 'IQCB1', 'PTGES3', 'CDC37', 'TUBA1A', 'GPALPP1', 'LNX1', 'FBXO25', 'UNK', 'SMURF2', 'KAT7', 'AHSA1', 'FN1', 'ESR1', 'NR3C1', 'NTRK1', 'APP', 'S100A6', 'NPM1', 'FES', 'TUBB', 'HSP90AA1', 'NR3C2', 'HSP90AB1', 'UBC', 'HSPA1A', 'HSPA1B', 'AR', 'BCL2', 'HSPA8', 'XRCC6', 'TRIM27', 'VCAM1', 'S100A1', 'RPS3', 'S100A2', 'PLK1', 'HAP1', 'PCBP4', 'ACTB', 'RACK1', 'CSNK2B', 'TUBA1B', 'TUBB4B', 'HSF1']
PPIE	['AQR', 'SLC19A2', 'BCAS2', 'SYF2', 'CHTF8', 'CHTF8', 'UBC', 'TAF1', 'HOXA9', 'BMI1', 'MSX2', 'EIF4A3', 'BUD31', 'MAGOH', 'SUMO2', 'HIST1H3A', 'KMT2A', 'SNW1', 'CWF19L2', 'PHF13', 'CCDC12', 'PHYHIP', 'ZNF830', 'CDC5L', 'USB1', 'SLC25A21', 'GPATCH1', 'WDR83', 'TRMT61B', 'CRNKL1', 'ACBD3', 'XAB2', 'RBM22', 'ISY1']
PPIF	['MDM2', 'C1QBP', 'ITPR1', 'BANP', 'CMTM5', 'ABI2', 'TP53', 'UBC', 'BCL2', 'SLC25A4', 'ATF2']
PPIG	['TRA2A', 'CUL3', 'FHL3', 'RBM39', 'RNPS1', 'ZMYND11', 'PCBP1', 'SMN1', 'NKAP', 'BEND7', 'PRPF38A', 'KCTD6', 'CEP70', 'SNIP1', 'ZCCHC10', 'PPCDC', 'SRPK1', 'NUF2', 'PNN', 'LUC7L', 'THAP1', 'DACH1', 'PNMA2', 'MED19', 'CACNA1A', 'PRPF40A', 'DAB1', 'SLU7', 'FOS', 'SP1', 'UBC', 'LGALS3', 'GRK5', 'CLK1', 'YWHAG', 'RHOB', 'TFCP2']
PPIH	['METTL18', 'PTBP3', 'BAG2', 'FN1', 'UBC', 'ITGA4', 'XRCC1', 'VCAM1', 'TAF1', 'SOX2', 'SNU13', 'XIAP', 'USP4', 'CUL3', 'HNRNPD', 'SART3', 'SF1', 'PAXIP1', 'MEPCE', 'HUWE1', 'LNX2', 'PRPF31', 'N4BP2L2', 'B9D2', 'TNIK', 'USP15', 'PRPF4', 'PRPF3']
PPIL1	['SYNCRIP', 'GADD45G', 'PTBP3', 'FN1', 'HNRNPA1', 'UBC', 'ITGA4', 'TCF4', 'VCAM1', 'BMI1', 'HNF4A', 'SRPK2', 'EWSR1', 'PPP1R8', 'SNW1', 'THOC5', 'SF3B3', 'CPSF6', 'SRRM1', 'PRR22', 'LNX2', 'TUBGCP3', 'SRPK1', 'WDR77', 'WDR83', 'RBM42', 'HNRNPUL1', 'RIMBP3', 'SRRM2']
PPIL2	['MAPK14', 'VPS26B', 'KLC3', 'PRCC', 'ZNF830', 'KLC2', 'KANSL2', 'PIM2', 'BAIAP2', 'FKBP6', 'NTRK1', 'APP', 'HSP90AA1', 'UBC', 'PDGFRA', 'BSG', 'TRIM23', 'HNF4A', 'MAX', 'CALM1', 'HIST1H2BC', 'FGL1']
PPIL3	['UBD', 'SYNCRIP', 'SLU7', 'BAG3', 'UBC', 'SNCA', 'BAG6', 'PRSS12', 'PCBP1', 'ELAVL1', 'SGTB', 'VPS50']
PPIL4	['USP7', 'SMAD5', 'AMMECR1', 'ORC6', 'XPO1', 'XRCC3', 'CIAO1', 'NTRK1', 'NPM1', 'UBC', 'FUS', 'SUMO3', 'SUMO2', 'EMC2', 'CHERP', 'MMGT1', 'RAB3IL1']
PPIP5K1	['CYLD', 'UBC', 'IRF3']
PPIP5K2	['MYC', 'NTRK1', 'UBC', 'HNF4A', 'SUMO1', 'E2F4']
PPL	['ANXA9', 'KRT8', 'VIM', 'HNRNPA1', 'UBC', 'SKIL', 'ALAS1', 'TRIM27', 'EZR', 'ZSCAN20', 'BDKRB2', 'AKT1', 'HTT', 'PTEN', 'TRAF2', 'CUL1', 'KIR3DS1', 'RALBP1', 'ITSN1', 'KAZN', 'CEP57L1', 'SYNPO', 'ZSCAN1', 'PPHLN1', 'EVPL', 'USP7', 'SUSD3', 'RAB3IP', 'VWA9', 'FYCO1', 'RBM4', 'RBM24', 'UGT1A10', 'WRAP73', 'COL17A1', 'DDX19B', 'TSC22D4', 'AHCYL1']
PPM1A	['ARRB1', 'CDK9', 'ADAMTS12', 'SMAD3', 'PRKAA1', 'HNRNPD', 'GRM3', 'SMAD2', 'SMAD1', 'MAPK14', 'SGO2', 'SGO1', 'RNASE13', 'TOR1AIP1', 'DCP1B', 'NEDD1', 'DVL3', 'HSFY1', 'ASB2', 'PIGS', 'VWA9', 'LXN', 'PRSS22', 'RANBP3', 'ACTR5', 'SMURF1', 'GDF3', 'RTEL1', 'FBXW11', 'AXIN1', 'INPPL1', 'CHST10', 'PPM1B', 'CER1', 'HSPB1', 'RPLP0', 'PRKCB', 'UBC', 'XRCC5', 'FGFR2', 'NR4A1', 'MAPK1', 'AKT1', 'ARRB2', 'CTNNB1']
PPM1B	['RASGRP1', 'HERC2', 'FOS', 'ANXA1', 'S100A8', 'ISG15', 'KRT18', 'GSN', 'ANXA2', 'VIL1', 'UBC', 'SKI', 'CDK2', 'MARK3', 'ECHS1', 'GCH1', 'ARRB2', 'NOS2', 'PPM1A', 'PPARG', 'EIF4A3', 'VHL', 'MAGEA6', 'FNTB', 'ARRB1', 'VAV2', 'VCP', 'SUMO3', 'MAGOH', 'SUMO2', 'YWHAE', 'GRB2', 'SUMO1', 'PPP2CA', 'HIST1H3A', 'CDK6', 'TLE4', 'IFT88', 'PABPC4', 'NR1I3', 'PAN2', 'FAM63B', 'AURKB', 'FBXO6', 'IKBKG', 'IKBKB', 'XPO1', 'CHUK', 'MAP3K7']
PPM1D	['RAD21', 'KDM1A', 'GLCE', 'LYPD3', 'DIRAS3', 'UBC', 'NAT2', 'UNG', 'H2AFX', 'TAF1', 'HNF4A', 'PPP4C', 'MDM2', 'E2F4', 'ITIH5', 'CASZ1', 'EPSTI1', 'CDC5L', 'BEX2', 'RHOBTB2', 'WHSC1L1', 'MRC2', 'DKK3', 'ERRFI1', 'OSGIN1']
PPM1E	['DISC1', 'TNIK', 'NTRK1', 'PRKAA2', 'PRMT2', 'PRKAA1', 'ARHGEF7', 'NDUFAF5']
PPM1F	['PRKAA2', 'MARS', 'PRKAA1', 'CAMK2G', 'ARHGEF7', 'ELAVL1', 'FAM161A', 'FBXO6', 'FEM1B', 'CEP164', 'CAMK2A', 'DIAPH1', 'NTRK1', 'UBC', 'PSMA3']
PPM1G	['YEATS4', 'CHEK2', 'LMNA', 'NTRK1', 'TP53', 'JUN', 'NPM1', 'UBC', 'H2AFX', 'TFEB', 'TAF1', 'LRPAP1', 'MTNR1B', 'TERF1', 'ABCE1', 'SUMO2', 'HIST1H2BC', 'EWSR1', 'IRF5', 'RPS6KA1', 'TERF2', 'IFI16', 'LRIF1', 'MSL1', 'PYHIN1', 'FBXO38', 'USP49', 'RBM45', 'SLX4', 'BAP1', 'USP7', 'HIST1H2BA', 'OTUB1', 'POP1', 'BARD1', 'RBM4', 'ECT2', 'SIRT7', 'SPHK1', 'TERF2IP', 'USP36', 'RPS6KB2', 'FBXL17', 'BTRC', 'TRAF6', 'OAS3']
PPM1H	['UBC', 'YWHAB', 'MOV10', 'NXF1']
PPM1J	['UBE2I']
PPM1K	['CHCHD1', 'MRPL13', 'BCKDK', 'COQ9', 'PMPCB', 'MYB', 'DBT', 'BCKDHA', 'IDE', 'BCKDHB', 'NME2', 'C21orf33', 'C1QBP', 'PMPCA', 'BIRC2', 'HSPB2', 'PITRM1']
PPM1L	['MAP3K7']
PPME1	['WDR1', 'LDHA', 'MYC', 'LMNA', 'GAPDH', 'NTRK1', 'TFAP2A', 'GPI', 'LDHB', 'P4HB', 'CTSD', 'ANXA6', 'UBC', 'HSPA8', 'PCNA', 'MYH1', 'EEF2', 'PDIA4', 'LCP1', 'FDPS', 'PKM', 'HSP90B1', 'ETS1', 'EZR', 'NFKB1', 'FLNA', 'TAF1', 'MCM3', 'CALR', 'TKT', 'EEF1D', 'PDIA3', 'PPP2R1A', 'MDH2', 'HNF4A', 'IQGAP1', 'CSE1L', 'PPP4C', 'MAX', 'PPP2CB', 'RAN', 'PPP2R2A', 'PPP2CA', 'GSTO1', 'CLTC', 'ACY1', 'LGALS3BP', 'TRIM28', 'DHRS2', 'CAMK1', 'PPP2R5D', 'KARS', 'PPP2R2D', 'LRRC8E', 'HRNR', 'CMYA5', 'SYNE1', 'CARD14', 'TDRD1', 'CDH23', 'PPP4R2', 'RUVBL1', 'NUDC']
PPOX	['HAP1', 'POU5F1', 'PLAUR', 'HNRNPD', 'IMMT', 'COPS5', 'SDF4', 'CBWD1', 'NANOG', 'ISLR', 'COQ9', 'NDUFA10', 'UBC', 'ARSA', 'THBS3']
PPP1CA	['PPP1CB', 'GRB2', 'SKP1', 'CSNK2B', 'ACTA1', 'UBXN2A', 'PHC1', 'CCNA1', 'CDK5', 'NDP', 'CLTC', 'MDM2', 'CENPE', 'RASSF7', 'CAV1', 'MST1R', 'PTK2', 'BCL2L1', 'SMARCB1', 'CNTN1', 'PPP1R8', 'TRIM28', 'SKP2', 'ATM', 'TUSC3', 'DRP2', 'HDAC1', 'SNW1', 'CUL1', 'CUL3', 'TP53BP2', 'SCRIB', 'DCTN1', 'ITPR3', 'MDC1', 'KANK1', 'RRP1B', 'LBR', 'CUL7', 'TMEM132D', 'FRMPD4', 'UBXN2B', 'NONO', 'PPP2R4', 'SF3A2', 'PPP1R7', 'MAPRE1', 'DLG2', 'CCDC85B', 'INA', 'PPP2R5E', 'DPYSL2', 'STX1A', 'DBN1', 'PPP1R3A', 'ZNF827', 'HYDIN', 'GLIPR1L2', 'TPRN', 'WDR81', 'SGO2', 'PRR16', 'NOM1', 'TCTEX1D4', 'TOR1AIP1', 'MIIP', 'ELFN2', 'LRRK2', 'CEP170', 'PPP1R15B', 'FKBP15', 'PPP1R26', 'RBM26', 'ARFGEF3', 'CCDC181', 'RIF1', 'RPRD2', 'RPGRIP1L', 'CDCA2', 'TMEM225', 'PPP1R2P3', 'PPP1R18', 'CNST', 'CASC1', 'WDR82', 'PPP1R21', 'AATK', 'SPOCD1', 'PREX2', 'TUBA1A', 'SUPT6H', 'ZFYVE16', 'PPP1R32', 'KCTD20', 'SPRED1', 'HUWE1', 'PPP1R27', 'PPP1R3B', 'DZIP3', 'LMTK2', 'TRIM42', 'HOMEZ', 'RPAP2', 'PHACTR4', 'KMT2E', 'TMEM132C', 'SYNPO', 'SFRP1', 'ZCCHC9', 'ZBTB38', 'CASC5', 'RASSF8', 'KIF18A', 'PPP1R35', 'SLC7A14', 'PREX1', 'SH3RF2', 'TRPC4AP', 'CEP192', 'PARD3', 'PPP1R13L', 'JPH3', 'CSRNP3', 'LPIN2', 'MYO18A', 'SORL1', 'ESR2', 'TFG', 'STAM', 'DLG3', 'BCL2L2', 'GPKOW', 'BAD', 'MAL2', 'KIF1BP', 'AURKB', 'TOE1', 'MYO19', 'PPP1R16A', 'PPP1R13B', 'PHACTR3', 'PPP1R36', 'ZSWIM3', 'WDR92', 'CSMD1', 'LMTK3', 'PPP1R10', 'ERBIN', 'RANBP9', 'CSRNP1', 'PPP1R9B', 'CDC5L', 'C12orf57', 'PKMYT1', 'MAP3K3', 'CHCHD6', 'BTBD10', 'LRRC1', 'NIFK', 'PARD6B', 'PCDH11X', 'FOXP3', 'PHACTR1', 'C20orf27', 'WWTR1', 'CCDC8', 'CSRNP2', 'CUEDC2', 'WNK1', 'PCIF1', 'RPAP3', 'SH2D4A', 'PEAK1', 'PPP1R3E', 'UBE2Z', 'DDX31', 'ECT2', 'ZFYVE1', 'TANC2', 'SYTL2', 'UBN1', 'HEYL', 'KIF13B', 'ANLN', 'MYO5C', 'SIRT7', 'PDRG1', 'POLR3E', 'POLR3B', 'GPATCH2', 'PIH1D1', 'CHCHD3', 'WWOX', 'SACS', 'GLTSCR2', 'CXXC1', 'VPS54', 'CAMSAP3', 'PHRF1', 'IBTK', 'CEP126', 'EIF2AK4', 'DEC1', 'UXT', 'HDAC6', 'PPP1R1B', 'KDM5B', 'LIMA1', 'GPN3', 'TSKS', 'AKAP11', 'PPP1R9A', 'SPATA2', 'PLCL2', 'SHOC2', 'PPP1R3C', 'HDAC5', 'RUVBL2', 'RUVBL1', 'ASF1A', 'NINL', 'WBP11', 'SLC45A1', 'NOC2L', 'FARP1', 'KIAA0430', 'CTDP1', 'SNCAIP', 'PIAS3', 'RASSF10', 'CCDC85C', 'SFI1', 'GRXCR1', 'PPP1R3G', 'MYO1C', 'ARNTL', 'MPHOSPH10', 'BHLHE40', 'APAF1', 'POLR3A', 'IKBKB', 'AURKA', 'RIMBP2', 'CHUK', 'MDM4', 'AXIN1', 'HDAC3', 'CLOCK', 'MAFG', 'DCX', 'ORC5', 'PQBP1', 'PPP1R11', 'OBSL1', 'NCOR1', 'ULK1', 'DEAF1', 'MTX2', 'EED', 'PPP1R15A', 'PPP1R37', 'RASSF9', 'PIAS1', 'URI1', 'MYO1D', 'TOX4', 'CD2BP2', 'ZFYVE9', 'ZBTB11', 'PPP1R3D', 'STAU1', 'MAP4K4', 'LATS1', 'MYC', 'C1QA', 'FN1', 'ESR1', 'NTRK1', 'TP53', 'JUN', 'PRKCB', 'RB1', 'CDK1', 'ENO2', 'CNP', 'ELFN1', 'UBC', 'AR', 'BCL2', 'PRKAR1A', 'HSPA8', 'CDK4', 'CKB', 'CDH1', 'NCAM1', 'ITGA4', 'GYS1', 'CCNB1', 'CREB1', 'VCAM1', 'POLR2E', 'TNFRSF1A', 'EIF2AK2', 'FLNA', 'RYR1', 'SFPQ', 'POLR2A', 'CDK2', 'MAPK3', 'MAPK1', 'CCND3', 'AKT1', 'MCM7', 'HSPA4', 'HTR7', 'MYH9', 'PPP1CC', 'TGFBR1', 'TGFBR2', 'BRCA1', 'HNF4A', 'PPP1R2', 'MATR3', 'MKI67', 'CRK', 'MAP1B', 'YAP1', 'IQGAP1', 'GYG1', 'CAPZA2', 'GPR12', 'CSNK1E', 'YLPM1', 'NUP153', 'TSC2', 'GSK3B', 'RORC', 'HCFC1', 'KCNQ1', 'CLCN2', 'NEK2', 'GYS2', 'ELL', 'SUMO3', 'KCNK10', 'PTEN', 'ACTB', 'MAX', 'SUMO2', 'DCAF7']
PPP1CB	['CALM1', 'GRB2', 'ACTG1', 'CSNK2B', 'TPM4', 'ACTC1', 'ACTA1', 'UBXN2A', 'RBM6', 'ST5', 'BASP1', 'DAB2', 'SPTBN1', 'RASSF7', 'DST', 'UBXN1', 'PTK2', 'TJP1', 'KHDRBS1', 'DHX9', 'NEXN', 'TWF1', 'SMARCB1', 'ILF3', 'MYO1E', 'PPP1R8', 'FLII', 'TRIM28', 'TUBB3', 'CUL3', 'TP53BP2', 'SPTAN1', 'TNFAIP1', 'SAFB2', 'CTTN', 'CLINT1', 'RRP1B', 'LBR', 'ZNF638', 'UBXN2B', 'PLEC', 'NONO', 'SAFB', 'PPP1R7', 'ELAVL1', 'MYLK', 'DBN1', 'PPP1R3A', 'INF2', 'TPRN', 'PAN2', 'ZNF326', 'SPECC1', 'PPP1R15B', 'ARHGAP21', 'RIF1', 'CDCA2', 'SPECC1L', 'PPP1R2P3', 'PPP1R18', 'ARHGAP11A', 'DUX4L9', 'WDR82', 'MPRIP', 'TUBA1A', 'SSH2', 'USP37', 'LUZP1', 'PPP1R3B', 'GAS2L3', 'KIF18B', 'MISP', 'SIRT2', 'RBM12B', 'KMT2E', 'INTS1', 'SYNPO', 'AFAP1', 'CDKN2A', 'RASSF8', 'KIF18A', 'ACTRT1', 'PPP1R13L', 'HDAC7', 'LMO7', 'STON2', 'MYO18A', 'TAF15', 'FBXW7', 'RBMXL1', 'DYNLL2', 'SIPA1', 'MYO19', 'PPP1R16A', 'PPP1R13B', 'WDR92', 'PPP1R10', 'PPP1R9B', 'PPP1R16B', 'GAS2L1', 'CORO1B', 'KIAA1671', 'UACA', 'PPP1R12C', 'UNK', 'ZDHHC5', 'C20orf27', 'RACGAP1', 'CSRNP2', 'TRIOBP', 'ZNF106', 'RPAP3', 'SH2D4A', 'METTL17', 'NCOA5', 'SMURF1', 'ANLN', 'MYO5C', 'SIRT7', 'BMP2K', 'PDRG1', 'PIH1D1', 'TMOD3', 'RAI14', 'LUZP4', 'DEC1', 'UXT', 'TES', 'APOBEC3B', 'LIMA1', 'AKAP11', 'TLK1', 'INTS6', 'INTU', 'MED23', 'MYO5B', 'CORO1C', 'MYO6', 'LIMCH1', 'PPP1R3C', 'CFL2', 'ASF1A', 'AKAP2', 'WBP11', 'MYO5A', 'RIPK3', 'IKBKG', 'PLEKHG3', 'CCDC85C', 'MYO1C', 'PIK3C2A', 'DDX3X', 'BHLHE40', 'ABLIM1', 'AURKA', 'PPP1R12A', 'SPTBN2', 'SEC16A', 'ARPC2', 'MDM4', 'CLOCK', 'DAPK3', 'ACTN4', 'MYO1B', 'PPP1R12B', 'NUAK1', 'SIPA1L3', 'PQBP1', 'PPP1R11', 'WDR1', 'COBL', 'FLNB', 'NCOR1', 'EED', 'PPP1R15A', 'RASSF9', 'URI1', 'TOX4', 'SORBS2', 'ZFYVE9', 'SVIL', 'AP2A1', 'MYC', 'NTRK1', 'JUN', 'TPM3', 'ANXA2', 'YES1', 'TPM2', 'GLI1', 'TPM1', 'CLTA', 'CLTB', 'UBC', 'BCL2', 'ACTN1', 'CCNB1', 'VCAM1', 'NCL', 'POLR2E', 'FLNA', 'TAF1', 'HNRNPA2B1', 'CFL1', 'CCND1', 'CDK2', 'CALML3', 'TMOD1', 'SSFA2', 'CCND3', 'AKT1', 'HNRNPH3', 'HSPA4', 'MYH9', 'PPP1CC', 'RBMX', 'BRCA1', 'MNDA', 'PPP1R2', 'EPS15', 'CDKN2A', 'MATR3', 'IQGAP1', 'CAPZA2', 'CAPZB', 'CDC34', 'YLPM1', 'CLK1', 'CCT8', 'RORC', 'CAPZA1', 'SUMO3', 'TMEM33', 'ARPC4', 'MYL6', 'ACTB', 'DSTN', 'ACTR3', 'ACTR2', 'ABCE1', 'MAX', 'SUMO2', 'DCAF7', 'PPP1CA']
