Gene_Name	interacting_genes
ABCB6	['ERGIC3', 'SDCBP', 'MYC', 'TNF', 'GNAI2', 'UBC', 'HLA-DPA1', 'TAF1', 'BMI1', 'MAX', 'E2F1', 'RBL2', 'FLOT2', 'E2F4', 'CEACAM21', 'PIK3R3', 'RNF2', 'TSG101', 'RNF126', 'TOLLIP']
ABCB7	['COQ9', 'MYC', 'NTRK1', 'APP', 'UBC', 'TAF1', 'FECH', 'PCK1', 'ICT1', 'FAF2', 'SDF4', 'UNK', 'NDUFA4', 'FOXS1']
ABCB8	['ONECUT1', 'FMNL1', 'UBC', 'SAT1', 'HNF4A', 'LPAR6', 'GABRE', 'NOA1', 'TMEM171']
ABCB9	['UBC', 'HNF4A', 'MAX']
ABCC1	['CAV1', 'TRAF3', 'TMEM173', 'TMEM17', 'UNC93B1', 'NTRK1', 'NPM1', 'UBC', 'AZGP1']
ABCC10	['ECSIT', 'TEX264', 'UBC', 'HNRNPD']
ABCC12	['VCPIP1', 'UBC']
ABCC2	['SHANK3', 'ONECUT1', 'UBQLN1', 'SLC9A3R1', 'AZIN1', 'UBC', 'NFKB1', 'HNF1A', 'HNF4A', 'PDZK1', 'PDZD3', 'MCPH1']
ABCC3	['UBC', 'MLH1', 'HNF4A']
ABCC4	['MYC', 'UBC', 'CFTR', 'LGALS3', 'MAX', 'SNTA1', 'SLC9A3R2', 'PDZK1', 'LGALS9C', 'LPAR1', 'SNX27', 'HAX1', 'LGALS8', 'SLC9A3R1']
ABCC5	['SMC2', 'SERPINA3', 'ESR1', 'UBC', 'TAF1', 'SHMT2', 'HNF4A', 'AK2', 'RBP5', 'TMEM17', 'NUP58', 'MOV10', 'NXF1']
ABCC6	['A1BG', 'FURIN', 'VCL', 'NR4A1', 'HNF4A', 'AK2', 'CRYL1']
ABCC8	['KCNJ11', 'RAPGEF4']
ABCC9	['LDHA', 'HNF1A', 'EEF1G', 'KCNJ11', 'HSPB2']
ABCD1	['BSG', 'PEX19', 'RAB7A', 'SUMO2', 'TERF2', 'VPS26B', 'SLC39A4', 'IQCF1', 'POT1', 'VAPA', 'ABCD2', 'SLC27A2', 'NTRK1', 'RPSA', 'UBC', 'ABCD3']
